INTL.37-12-MMR-BKWH.A,                Wind (billion kWh),0
INTL.38-12-MMR-BKWH.A,                Biomass and waste (billion kWh),0.003
INTL.82-12-MMR-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Burundi,
INTL.2-12-BDI-BKWH.A,    Generation (billion kWh),0.356734
INTL.29-12-BDI-BKWH.A,        Renewables (billion kWh),0.233788
INTL.33-12-BDI-BKWH.A,            Hydroelectricity (billion kWh),0.22
INTL.34-12-BDI-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.013788
INTL.35-12-BDI-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BDI-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.008
INTL.117-12-BDI-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BDI-BKWH.A,                    Solar (billion kWh),0.008
INTL.37-12-BDI-BKWH.A,                Wind (billion kWh),0
